;containerID;SH;Category;Weight;Filling start;Alt filling start;Filling end;Loading;Leaving;Plate;Arrival;Unload;trip_id
86;641;sh2;Sekatuote siipikarja luokka 3;14360kg;2022-11-11T19:31:00Z;;2022-11-11T22:55:00Z;2022-11-11T23:37:00Z;2022-11-12T00:10:00Z;truck1;2022-11-11T21:01:00Z;2022-11-11T23:55:00Z;73.0
87;630;sh1;Sekatuote siipikarja luokka 3;10500kg;2022-11-07T06:25:00Z;;2022-11-12T08:29:00Z;2022-11-12T08:31:00Z;2022-11-12T08:11:00Z;truck10;2022-11-12T10:37:00Z;2022-11-12T10:55:00Z;74.0
88;634;sh1;Sekatuote siipikarja luokka 3;15440kg;2022-11-14T06:33:00Z;;2022-11-14T09:13:00Z;2022-11-14T10:57:00Z;2022-11-14T11:20:00Z;truck4;2022-11-14T13:15:00Z;2022-11-14T13:17:00Z;75.0
89;658;sh1;Sekatuote siipikarja luokka 3;13040kg;2022-11-14T09:15:00Z;;2022-11-14T10:52:00Z;2022-11-14T10:57:00Z;2022-11-14T11:20:00Z;truck4;2022-11-14T13:15:00Z;2022-11-14T14:14:00Z;75.0
90;640;sh2;Sekatuote siipikarja luokka 3;14360kg;2022-11-14T03:50:00Z;2022-11-14T04:00:00Z;2022-11-14T08:54:00Z;2022-11-14T13:08:00Z;2022-11-14T13:35:00Z;truck1;2022-11-14T11:19:00Z;2022-11-14T13:58:00Z;76.0
91;651;sh2;Sekatuote siipikarja luokka 3;13820kg;2022-11-14T03:50:00Z;2022-11-14T04:00:00Z;2022-11-14T10:29:00Z;2022-11-14T13:11:00Z;2022-11-14T13:35:00Z;truck1;2022-11-14T15:19:00Z;2022-11-14T16:18:00Z;77.0
92;612;sh1;Sekatuote siipikarja luokka 3;13020kg;2022-11-14T10:57:00Z;;2022-11-14T12:46:00Z;2022-11-14T16:44:00Z;2022-11-14T16:53:00Z;truck5;2022-11-14T18:37:00Z;2022-11-14T18:51:00Z;78.0
93;633;sh1;Sekatuote siipikarja luokka 3;13600kg;2022-11-14T12:51:00Z;;2022-11-14T15:05:00Z;2022-11-14T16:44:00Z;2022-11-14T16:53:00Z;truck5;2022-11-14T18:37:00Z;2022-11-14T18:41:00Z;78.0
94;664;sh1;Sekatuote siipikarja luokka 3;11120kg;2022-11-14T15:05:00Z;;2022-11-14T16:46:00Z;2022-11-14T16:44:00Z;2022-11-14T16:53:00Z;truck5;2022-11-14T18:37:00Z;2022-11-14T18:51:00Z;78.0
95;617;sh2;Sekatuote siipikarja luokka 3;13780kg;2022-11-14T13:22:00Z;;2022-11-14T17:30:00Z;2022-11-14T19:17:00Z;2022-11-14T19:31:00Z;truck1;2022-11-14T21:18:00Z;2022-11-14T22:39:00Z;79.0
96;627;sh2;Sekatuote siipikarja luokka 3;15340kg;2022-11-14T10:29:00Z;;2022-11-14T15:17:00Z;2022-11-14T19:17:00Z;2022-11-14T19:31:00Z;truck1;2022-11-14T21:18:00Z;2022-11-14T21:49:00Z;79.0
97;628;sh2;Sekatuote siipikarja luokka 3;14440kg;2022-11-14T08:54:00Z;;2022-11-14T13:22:00Z;2022-11-14T19:14:00Z;2022-11-14T19:31:00Z;truck1;2022-11-14T15:19:00Z;2022-11-14T21:21:00Z;79.0
98;623;sh1;Sekatuote siipikarja luokka 3;12940kg;2022-11-14T18:37:00Z;;2022-11-14T21:08:00Z;2022-11-14T21:15:00Z;2022-11-14T21:18:00Z;truck5;2022-11-14T23:01:00Z;2022-11-14T23:15:00Z;80.0
99;661;sh1;Sekatuote siipikarja luokka 3;14320kg;2022-11-14T16:46:00Z;;2022-11-14T18:37:00Z;2022-11-14T21:14:00Z;2022-11-14T21:18:00Z;truck5;2022-11-14T23:01:00Z;2022-11-14T23:10:00Z;80.0
100;624;sh2;Sekatuote siipikarja luokka 3;14680kg;2022-11-14T17:46:00Z;;2022-11-14T23:18:00Z;2022-11-15T00:45:00Z;2022-11-15T01:08:00Z;truck1;2022-11-15T02:50:00Z;2022-11-15T03:14:00Z;81.0
101;638;sh2;Sekatuote siipikarja luokka 3;11920kg;2022-11-14T15:17:00Z;;2022-11-14T19:37:00Z;2022-11-15T00:44:00Z;2022-11-15T01:08:00Z;truck1;2022-11-15T02:50:00Z;2022-11-15T03:23:00Z;81.0
102;662;sh2;Varpaat, Siipikarja, Luokka 3;10920kg;2022-11-14T03:50:00Z;2022-11-14T04:00:00Z;2022-11-14T18:51:00Z;2022-11-15T00:44:00Z;2022-11-15T01:08:00Z;truck1;2022-11-14T21:18:00Z;2022-11-15T02:52:00Z;81.0
103;644;sh1;Sekatuote siipikarja luokka 3;14720kg;2022-11-14T21:08:00Z;;2022-11-15T08:11:00Z;2022-11-15T08:06:00Z;2022-11-15T08:20:00Z;truck3;2022-11-15T10:21:00Z;2022-11-15T10:55:00Z;82.0
104;603;sh2;Sekatuote siipikarja luokka 3;14480kg;2022-11-14T23:08:00Z;2022-11-15T04:00:00Z;2022-11-15T06:50:00Z;2022-11-15T12:00:00Z;2022-11-15T12:16:00Z;truck5;2022-11-15T13:59:00Z;2022-11-15T14:17:00Z;83.0
